implementation,runtime,generated_at_unix_ms,benchmark,column_kind,column_value,column_label,iterations,warmup,avg_ns,min_ns,p75_ns,p99_ns,max_ns
knitting,bun 1.2.20,1773827812276,knitting number f64 (8 bytes),batch,1,n=1,500,200,7349.09,3296,7263,18695,327236
knitting,bun 1.2.20,1773827812276,knitting number f64 (8 bytes),batch,10,n=10,500,50,13412.444,7904,14917,36578,71112
knitting,bun 1.2.20,1773827812276,knitting number f64 (8 bytes),batch,100,n=100,500,50,80609.952,24665,60272,92371,15527722
knitting,bun 1.2.20,1773827812276,knitting large string (1048576 bytes),batch,1,n=1,500,200,1186413.6,477585,1643856,3741953,4880343
knitting,bun 1.2.20,1773827812276,knitting large string (1048576 bytes),batch,10,n=10,500,50,6013698.364,4696683,6289073,8410965,10245934
knitting,bun 1.2.20,1773827812276,knitting large string (1048576 bytes),batch,100,n=100,500,50,50157168.504,47004772,50494276,61619812,65982549
knitting,bun 1.2.20,1773827812276,knitting Uint8Array (1048576 bytes),batch,1,n=1,500,200,1296136.99,496009,1641932,3028211,5250320
knitting,bun 1.2.20,1773827812276,knitting Uint8Array (1048576 bytes),batch,10,n=10,500,50,5269422.898,4173303,6039992,7796368,8272630
knitting,bun 1.2.20,1773827812276,knitting Uint8Array (1048576 bytes),batch,100,n=100,500,50,47755919.252,42628468,48761473,59767658,70573165
knitting,bun 1.2.20,1773827812276,knitting Uint8Array size sweep (batch=100),size_bytes,8,8 B,500,50,62801.942,45424,66714,117598,155828
knitting,bun 1.2.20,1773827812276,knitting Uint8Array size sweep (batch=100),size_bytes,16,16 B,500,50,56241.19,45384,56886,133157,226990
knitting,bun 1.2.20,1773827812276,knitting Uint8Array size sweep (batch=100),size_bytes,32,32 B,500,50,49477.756,36959,43651,83565,2980053
knitting,bun 1.2.20,1773827812276,knitting Uint8Array size sweep (batch=100),size_bytes,64,64 B,500,50,42684.082,37760,43531,59089,128899
knitting,bun 1.2.20,1773827812276,knitting Uint8Array size sweep (batch=100),size_bytes,128,128 B,500,50,53534.092,45444,56404,88945,142945
knitting,bun 1.2.20,1773827812276,knitting Uint8Array size sweep (batch=100),size_bytes,256,256 B,500,50,63415.622,48981,63448,138207,599491
knitting,bun 1.2.20,1773827812276,knitting Uint8Array size sweep (batch=100),size_bytes,512,512 B,500,50,68549.272,59491,68026,138257,634486
knitting,bun 1.2.20,1773827812276,knitting Uint8Array size sweep (batch=100),size_bytes,1024,1 KiB,500,50,171090.842,109583,162791,1386791,6182558
knitting,bun 1.2.20,1773827812276,knitting Uint8Array size sweep (batch=100),size_bytes,2048,2 KiB,500,50,194624.99,129020,202986,2743885,4105107
knitting,bun 1.2.20,1773827812276,knitting Uint8Array size sweep (batch=100),size_bytes,4096,4 KiB,500,50,260162.462,169253,215349,2086798,6110865
knitting,bun 1.2.20,1773827812276,knitting Uint8Array size sweep (batch=100),size_bytes,8192,8 KiB,500,50,397053.446,251456,317679,3312118,4309728
knitting,bun 1.2.20,1773827812276,knitting Uint8Array size sweep (batch=100),size_bytes,16384,16 KiB,500,50,649182.968,389412,559988,4944814,6474530
knitting,bun 1.2.20,1773827812276,knitting Uint8Array size sweep (batch=100),size_bytes,32768,32 KiB,500,50,1135723.432,739290,1013758,4968479,6374213
knitting,bun 1.2.20,1773827812276,knitting Uint8Array size sweep (batch=100),size_bytes,65536,64 KiB,500,50,2382036.738,1749412,2221998,6980868,8414775
knitting,bun 1.2.20,1773827812276,knitting Uint8Array size sweep (batch=100),size_bytes,131072,128 KiB,500,50,5018912.778,3817174,5814106,9049611,10338310
knitting,bun 1.2.20,1773827812276,knitting Uint8Array size sweep (batch=100),size_bytes,262144,256 KiB,500,50,10564860.256,8486479,11566646,14977388,15541853
knitting,bun 1.2.20,1773827812276,knitting Uint8Array size sweep (batch=100),size_bytes,524288,512 KiB,500,50,22334606.936,18519834,23532905,28176460,33807708
knitting,bun 1.2.20,1773827812276,knitting Uint8Array size sweep (batch=100),size_bytes,1048576,1 MiB,500,50,46970974.372,40655382,48858875,58426131,68304020
knitting,bun 1.2.20,1773827812276,Uint8Array arc comparison size sweep (batch=100),size_bytes,8,8 B,500,50,70306.502,48750,75470,111987,154225
knitting,bun 1.2.20,1773827812276,Uint8Array arc comparison size sweep (batch=100),size_bytes,16,16 B,500,50,60944.746,40866,64159,118299,415139
knitting,bun 1.2.20,1773827812276,Uint8Array arc comparison size sweep (batch=100),size_bytes,32,32 B,500,50,57042.412,40756,61103,85809,288405
knitting,bun 1.2.20,1773827812276,Uint8Array arc comparison size sweep (batch=100),size_bytes,64,64 B,500,50,54443.69,43060,57486,88033,254161
knitting,bun 1.2.20,1773827812276,Uint8Array arc comparison size sweep (batch=100),size_bytes,128,128 B,500,50,68499.404,43200,68426,143355,2391963
knitting,bun 1.2.20,1773827812276,Uint8Array arc comparison size sweep (batch=100),size_bytes,256,256 B,500,50,50593.256,45875,49311,69559,716057
knitting,bun 1.2.20,1773827812276,Uint8Array arc comparison size sweep (batch=100),size_bytes,512,512 B,500,50,74777.838,64339,75039,141753,492593
