implementation,runtime,generated_at_unix_ms,benchmark,column_kind,column_value,column_label,iterations,warmup,avg_ns,min_ns,p75_ns,p99_ns,max_ns
knitting,node 24.15.0,1780359653274,knitting f64 (8 bytes),batch,1,n=1,500,200,9136.012,3412,7929,36819,831494
knitting,node 24.15.0,1780359653274,knitting f64 (8 bytes),batch,10,n=10,500,50,16249.354,4921,16016,80710,1734468
knitting,node 24.15.0,1780359653274,knitting f64 (8 bytes),batch,100,n=100,500,50,53814.814,27785,53832,341370,670109
knitting,node 24.15.0,1780359653274,knitting Uint8Array (1 MiB),batch,1,n=1,500,200,1330536.71,320214,1492644,2502740,8515591
knitting,node 24.15.0,1780359653274,knitting Uint8Array (1 MiB),batch,10,n=10,500,50,4590860.104,2834090,5861726,10265250,15059272
knitting,node 24.15.0,1780359653274,knitting Uint8Array (1 MiB),batch,100,n=100,500,50,47627795.566,35150345,52255178,63961517,70276705
knitting,node 24.15.0,1780359653274,knitting ProcessSharedBuffer (1 MiB),batch,1,n=1,500,200,20352.21,4000,8329,139234,4669406
knitting,node 24.15.0,1780359653274,knitting ProcessSharedBuffer (1 MiB),batch,10,n=10,500,50,20524.462,10116,17446,54820,1246339
knitting,node 24.15.0,1780359653274,knitting ProcessSharedBuffer (1 MiB),batch,100,n=100,500,50,81586.748,41987,93999,223958,459680
knitting,node 24.15.0,1780359653274,knitting Uint8Array size sweep (batch=100),size_bytes,8,8 B,500,50,78983.174,52210,79616,250436,1396143
knitting,node 24.15.0,1780359653274,knitting Uint8Array size sweep (batch=100),size_bytes,16,16 B,500,50,58653.908,51714,56850,132928,302926
knitting,node 24.15.0,1780359653274,knitting Uint8Array size sweep (batch=100),size_bytes,32,32 B,500,50,57592.29,51907,54873,147824,322901
knitting,node 24.15.0,1780359653274,knitting Uint8Array size sweep (batch=100),size_bytes,64,64 B,500,50,58684.588,52163,55220,149411,375240
knitting,node 24.15.0,1780359653274,knitting Uint8Array size sweep (batch=100),size_bytes,128,128 B,500,50,60661.828,53919,56708,162802,344146
knitting,node 24.15.0,1780359653274,knitting Uint8Array size sweep (batch=100),size_bytes,256,256 B,500,50,66708.936,56336,58984,175284,1316928
knitting,node 24.15.0,1780359653274,knitting Uint8Array size sweep (batch=100),size_bytes,512,512 B,500,50,70389.908,62572,67317,195350,326758
knitting,node 24.15.0,1780359653274,knitting Uint8Array size sweep (batch=100),size_bytes,1024,1 KiB,500,50,115365.604,85687,106146,382866,1392814
knitting,node 24.15.0,1780359653274,knitting Uint8Array size sweep (batch=100),size_bytes,2048,2 KiB,500,50,146012.07,115657,135533,445497,649835
knitting,node 24.15.0,1780359653274,knitting Uint8Array size sweep (batch=100),size_bytes,4096,4 KiB,500,50,260834.454,169289,291744,1422117,4205915
knitting,node 24.15.0,1780359653274,knitting Uint8Array size sweep (batch=100),size_bytes,8192,8 KiB,500,50,462044.826,226191,603108,3406865,4794841
knitting,node 24.15.0,1780359653274,knitting Uint8Array size sweep (batch=100),size_bytes,16384,16 KiB,500,50,670485.02,350021,738492,4812997,6634344
knitting,node 24.15.0,1780359653274,knitting Uint8Array size sweep (batch=100),size_bytes,32768,32 KiB,500,50,980541.598,622778,746774,4988270,5898528
knitting,node 24.15.0,1780359653274,knitting Uint8Array size sweep (batch=100),size_bytes,65536,64 KiB,500,50,1860618.464,1162648,1380291,7110560,8817612
knitting,node 24.15.0,1780359653274,knitting Uint8Array size sweep (batch=100),size_bytes,131072,128 KiB,500,50,4788290.226,2301479,6554178,13026490,20400497
knitting,node 24.15.0,1780359653274,knitting Uint8Array size sweep (batch=100),size_bytes,262144,256 KiB,500,50,10025000.612,4830254,13135603,19666384,24330048
knitting,node 24.15.0,1780359653274,knitting Uint8Array size sweep (batch=100),size_bytes,524288,512 KiB,500,50,20930769.012,10824069,25982209,29542938,34461337
knitting,node 24.15.0,1780359653274,knitting Uint8Array size sweep (batch=100),size_bytes,1048576,1 MiB,500,50,46618224.036,33284198,51780006,64347011,69813291
knitting,node 24.15.0,1780359653274,Uint8Array arc comparison size sweep (batch=100),size_bytes,8,8 B,500,50,136117.368,81845,189631,348551,1634997
knitting,node 24.15.0,1780359653274,Uint8Array arc comparison size sweep (batch=100),size_bytes,16,16 B,500,50,83939.528,59233,86117,259280,637188
knitting,node 24.15.0,1780359653274,Uint8Array arc comparison size sweep (batch=100),size_bytes,32,32 B,500,50,77623.688,58823,86075,228567,791610
knitting,node 24.15.0,1780359653274,Uint8Array arc comparison size sweep (batch=100),size_bytes,64,64 B,500,50,71722.838,58669,64755,133753,260466
knitting,node 24.15.0,1780359653274,Uint8Array arc comparison size sweep (batch=100),size_bytes,128,128 B,500,50,65930.072,60065,63341,88506,564854
knitting,node 24.15.0,1780359653274,Uint8Array arc comparison size sweep (batch=100),size_bytes,256,256 B,500,50,67349.998,60766,65136,90019,601795
knitting,node 24.15.0,1780359653274,Uint8Array arc comparison size sweep (batch=100),size_bytes,512,512 B,500,50,98487.544,66492,96898,289944,1355355
