implementation,runtime,generated_at_unix_ms,benchmark,column_kind,column_value,column_label,iterations,warmup,avg_ns,min_ns,p75_ns,p99_ns,max_ns
knitting,deno 2.5.6,1773827925019,knitting number f64 (8 bytes),batch,1,n=1,500,200,21543.616,3667,23082,160567,667828
knitting,deno 2.5.6,1773827925019,knitting number f64 (8 bytes),batch,10,n=10,500,50,11965.238,7514,11552,111887,211933
knitting,deno 2.5.6,1773827925019,knitting number f64 (8 bytes),batch,100,n=100,500,50,63284.896,44853,55412,263048,286952
knitting,deno 2.5.6,1773827925019,knitting large string (1048576 bytes),batch,1,n=1,500,200,1376401.312,1073620,1472309,2965266,4496224
knitting,deno 2.5.6,1773827925019,knitting large string (1048576 bytes),batch,10,n=10,500,50,10382263.66,7511473,12191127,14447307,14932508
knitting,deno 2.5.6,1773827925019,knitting large string (1048576 bytes),batch,100,n=100,500,50,83900107.952,73929379,89859101,106671506,113178803
knitting,deno 2.5.6,1773827925019,knitting Uint8Array (1048576 bytes),batch,1,n=1,500,200,1139618.216,762143,1001767,5805702,8751974
knitting,deno 2.5.6,1773827925019,knitting Uint8Array (1048576 bytes),batch,10,n=10,500,50,6364497.836,4602251,7105922,14365569,15424663
knitting,deno 2.5.6,1773827925019,knitting Uint8Array (1048576 bytes),batch,100,n=100,500,50,60044528.09,50260843,63265332,81713287,92941173
knitting,deno 2.5.6,1773827925019,knitting Uint8Array size sweep (batch=100),size_bytes,8,8 B,500,50,107011.514,79808,110184,246096,354337
knitting,deno 2.5.6,1773827925019,knitting Uint8Array size sweep (batch=100),size_bytes,16,16 B,500,50,95782.89,70441,103191,219837,626421
knitting,deno 2.5.6,1773827925019,knitting Uint8Array size sweep (batch=100),size_bytes,32,32 B,500,50,85048.84,70802,92091,200892,608488
knitting,deno 2.5.6,1773827925019,knitting Uint8Array size sweep (batch=100),size_bytes,64,64 B,500,50,78268.628,68987,75180,192066,385936
knitting,deno 2.5.6,1773827925019,knitting Uint8Array size sweep (batch=100),size_bytes,128,128 B,500,50,84387.248,74258,82012,200452,506850
knitting,deno 2.5.6,1773827925019,knitting Uint8Array size sweep (batch=100),size_bytes,256,256 B,500,50,100436.558,80660,91400,211512,4388195
knitting,deno 2.5.6,1773827925019,knitting Uint8Array size sweep (batch=100),size_bytes,512,512 B,500,50,118032.754,94245,113050,249462,3966634
knitting,deno 2.5.6,1773827925019,knitting Uint8Array size sweep (batch=100),size_bytes,1024,1 KiB,500,50,169499.432,139709,168492,341834,3708164
knitting,deno 2.5.6,1773827925019,knitting Uint8Array size sweep (batch=100),size_bytes,2048,2 KiB,500,50,233393.392,173362,202766,1417167,5140620
knitting,deno 2.5.6,1773827925019,knitting Uint8Array size sweep (batch=100),size_bytes,4096,4 KiB,500,50,391428.27,196084,312449,4418090,6121929
knitting,deno 2.5.6,1773827925019,knitting Uint8Array size sweep (batch=100),size_bytes,8192,8 KiB,500,50,539979.506,293655,462578,4506865,5239383
knitting,deno 2.5.6,1773827925019,knitting Uint8Array size sweep (batch=100),size_bytes,16384,16 KiB,500,50,899807.128,487474,756682,5320133,6835583
knitting,deno 2.5.6,1773827925019,knitting Uint8Array size sweep (batch=100),size_bytes,32768,32 KiB,500,50,1409661.3,850888,1202630,7347882,10005639
knitting,deno 2.5.6,1773827925019,knitting Uint8Array size sweep (batch=100),size_bytes,65536,64 KiB,500,50,2892872.782,1828089,2594850,8909436,9957851
knitting,deno 2.5.6,1773827925019,knitting Uint8Array size sweep (batch=100),size_bytes,131072,128 KiB,500,50,6083804.54,4650221,6518255,12476149,13675492
knitting,deno 2.5.6,1773827925019,knitting Uint8Array size sweep (batch=100),size_bytes,262144,256 KiB,500,50,11958018.488,9576995,13441870,17578798,19291444
knitting,deno 2.5.6,1773827925019,knitting Uint8Array size sweep (batch=100),size_bytes,524288,512 KiB,500,50,25257135.604,20200861,26677027,32570933,37319866
knitting,deno 2.5.6,1773827925019,knitting Uint8Array size sweep (batch=100),size_bytes,1048576,1 MiB,500,50,55767140.748,48186635,58796757,66838786,73626911
knitting,deno 2.5.6,1773827925019,Uint8Array arc comparison size sweep (batch=100),size_bytes,8,8 B,500,50,97786.566,72775,109834,271253,546563
knitting,deno 2.5.6,1773827925019,Uint8Array arc comparison size sweep (batch=100),size_bytes,16,16 B,500,50,77455.736,69559,74207,199580,372210
knitting,deno 2.5.6,1773827925019,Uint8Array arc comparison size sweep (batch=100),size_bytes,32,32 B,500,50,77028.8,68487,73887,212323,544740
knitting,deno 2.5.6,1773827925019,Uint8Array arc comparison size sweep (batch=100),size_bytes,64,64 B,500,50,78813.638,70962,75470,206914,588852
knitting,deno 2.5.6,1773827925019,Uint8Array arc comparison size sweep (batch=100),size_bytes,128,128 B,500,50,85947.724,78465,82363,216952,509465
knitting,deno 2.5.6,1773827925019,Uint8Array arc comparison size sweep (batch=100),size_bytes,256,256 B,500,50,100096.632,84257,88464,246306,4461501
knitting,deno 2.5.6,1773827925019,Uint8Array arc comparison size sweep (batch=100),size_bytes,512,512 B,500,50,123111.476,96469,103441,300607,3881065
